Industry,Sector
Marketing,"sales, Loyalty, Discovery, Branding, Digital Marketing (SEO Automation), Market, Research"
AI,"Machine Learning, NLP"
Analytics,"Buisness Intelligence, Big Data, Data Science"
Animation,
AR + VR,
Art & Photography,"Handicraft, Art, Photography"
Automotive,"Tires, Parts, Manufacturers"
Chemicals,"Commodity, Agricultural "
Telecommunication & Networking,
Computer Vision,
Construction,"New-age Construction Technologies, Construction Materials, Construction & Engineering, Construction Supplies & Fixtures, Homebuilding"
Dating Matrimonial,
Design,"Web Design, Industrial Design"
Education,"E-learning, Education Technology, Skill Development, Coaching"
Non- Renewable Energy,"Oil & Gas Exploration and Production, Oil & Gas Drilling, Oil Related Services and Equipment, Oil & Gas Transportation Services"
Renewable Energy,"Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions"
Green Technology,"Waste management, Clean Tech"
Enterprise Software,"Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility"
Events,"Wedding, Event Management"
Fashion,"Fashion Technology, Lifestyle, Apparel, Fan Merchandise, Jewellery"
Finance Technology,"Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance,Insurance,Advisory,Business Finance,P2P Lending,Bitcoin and Blockchain,Microfinance,Foreign Exchange,Accounting"
Food & Beverages,"Restaurants,Microbrewery,Food Processing"
Technology Hardware,"Embedded,Semiconductor,Electronics,3d printing,Manufacturing"
Healthcare & Lifesciences,"Medical Devices Biomedical,Health & Wellness,Pharmaceutical,Biotechnology,Healthcare Services,Healthcare IT,Healthcare Technology"
Human Resources,"Recruitment Jobs,Training,Skills Assessment,Talent Management,Internships"
Internet of Things,"Smart Home,Manufacturing & Warehouse,Wearables"
IT Services,"IT Consulting,BPO,KPO,Web Development,Product Development,Application Development,Testing,IT Management,Project Management"
Media & Entertainment,"Digital Media News,Digital Media Video,Digital Media Blogging,Digital Media Publishing,Digital Media,Movies,OOH Media,Social Media,Entertainment"
Nanotechnology,
Pets & Animals,
Professional & Commercial Services,"Environmental Services & Equipment,Commercial Printing Services,Employment Services,Business Support Services,Professional Information Services,Business Support Supplies"
Real Estate,"Housing, Coworking Space"
Retail,"Retail Technology,Social Commerce,Comparison Shopping"
Other Specialty Retailers,"Auto Vehicles, Parts & Service Retailers,Home Improvement Products & Services Retailers,Home Furnishings Retailers,Computer & Electronics Retailers"
Robotics,"Robotics Application, Robotics Technology"
Safety,Personal Security
Security Solutions,"Cyber Security, Home Security"
House-Hold Services,"Personal Care,Laundry,Baby Care,Home Care"
Social Impact,NGO
Social Network,
Sports,"Outdoors, Indoors"
Textiles & Apparel,"Leather Textiles Goods,Non- Leather Textiles Goods,Apparel & Accessories,Leather Footwear,Non- Leather Footwear"
Transportation & Storage,"Freight & Logistics Services,Passenger Transportation Services,Transport Infrastructure"
Travel & Tourism,"Holiday Rentals,Hotel,Experiential Travel,Ticketing,Hospitality,Facility Management"
Advertising,"Ad Tech, Online Classified"
Agriculture,"Dairy Farming,Organic Agriculture,Agri-Tech,Food Processing"
Others,
Logistics,
Airport Operations,
Waste Management,
Passenger Experience,
Biotechnology,
