key,place_name,admin_name1,latitude,longitude,accuracy
IN/140001,Rup Nagar College,Punjab,30.7871,76.5526,
IN/140102,Lutheri,Punjab,31.2583,76.3958,
IN/140104,Sahauran,Punjab,31.2583,76.3958,
IN/140108,Mainpur,Punjab,31.2583,76.3958,
IN/140109,Khizrabad West,Punjab,31.2583,76.3958,
IN/140112,Chamkaur Sahib,Punjab,31.1333,76.5417,
IN/140113,Ghanauli,Punjab,31.0167,76.5833,4
IN/140117,Nurpur Bedi,Punjab,31.1333,76.5417,
IN/140118,Anandpur Sahib,Punjab,31.25,76.5,4
IN/140119,Takhatgarh,Punjab,31.1333,76.5417,
IN/140123,Ganguwal,Punjab,31.4,76.1167,4
IN/140124,Nangal Labour,Punjab,31.3833,76.25,
IN/140125,Nangal,Punjab,31.3667,76.3833,4
IN/140126,Nangal Sector 2,Punjab,31.3833,76.25,
IN/140202,Ramgarh (Rupar),Punjab,30.7871,76.5526,
IN/140301,Kharar,Punjab,30.7444,76.6478,4
IN/140306,Manauli,Punjab,30.7222,76.6572,
IN/140307,Landran,Punjab,30.7,76.6667,4
IN/140401,Rajpura,Punjab,30.4831,76.595,4
IN/140405,Sangatpursodhian,Punjab,30.4831,76.595,
IN/140406,Hamayunpur,Punjab,30.4831,76.595,
IN/140412,Bassi,Punjab,30.5872,76.8428,4
IN/140413,Gharuan,Punjab,30.5872,76.8428,
IN/140501,Lairu,Punjab,30.7871,76.5526,
IN/140502,Handesra,Punjab,30.7871,76.5526,
IN/140506,Dappar Ammunition Depot,Punjab,30.7871,76.5526,
IN/140601,Banur,Punjab,30.5556,76.7183,4
IN/140602,Manakpur,Punjab,30.5958,76.6328,4
IN/140701,Kauli,Punjab,30.4172,76.5064,4
IN/140702,Ghanaur,Punjab,30.3322,76.6072,4
IN/140801,Khamano Kalan,Punjab,30.7833,76.3833,
IN/140802,Sanghol,Punjab,30.7833,76.3833,4
IN/141001,Ludhiana,Punjab,30.8676,75.8444,4
IN/141002,Colony Ropar,Punjab,30.9,75.85,
IN/141003,Ludhiana,Punjab,30.9,75.85,4
IN/141004,P A P Lines,Punjab,30.9,75.85,
IN/141005,Ludhiana,Punjab,30.9,75.85,4
IN/141007,Ludhiana,Punjab,30.9,75.85,4
IN/141008,Kidwai Nagar,Punjab,30.9,75.85,
IN/141102,Dakha,Punjab,30.6833,75.625,
IN/141104,K C G S Sudhar,Punjab,30.6833,75.625,
IN/141105,Saraba,Punjab,30.6833,75.625,
IN/141106,Haliwara A D,Punjab,30.6833,75.625,
IN/141107,Halwara,Punjab,30.7167,75.65,4
IN/141108,Pakhowal,Punjab,30.6833,75.625,
IN/141109,Raikot,Punjab,30.65,75.6,4
IN/141111,Jamalpur Awana,Punjab,30.7949,76.1071,
IN/141113,Katni Kalan,Punjab,30.7949,76.1071,
IN/141114,Samrala,Punjab,30.8367,76.1897,4
IN/141115,Machhiwara,Punjab,30.9147,76.1983,4
IN/141116,Gill,Punjab,30.7949,76.1071,
IN/141118,Frhlon,Punjab,30.7949,76.1071,
IN/141119,Malaudh,Punjab,30.6333,75.9333,4
IN/141120,Sanehwal,Punjab,30.7503,75.9143,
IN/141121,Bahlolpur,Punjab,30.7503,75.9143,
IN/141122,Jaspal Bangar,Punjab,30.7503,75.9143,
IN/141124,Ghulal,Punjab,30.7503,75.9143,
IN/141201,Kila Raipur,Punjab,30.75,75.75,
IN/141203,Narangwal,Punjab,30.75,75.75,4
IN/141204,Ghungrana,Punjab,30.75,75.75,
