date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:04	44675/44675	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html	(from )
10:50:05	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Aug%202019%2005:20:05%20GMT	https://demos.creative-tim.com/robots.txt		(from )
10:50:06	2446/2446	---M--	200	added ('OK')	image/png	etag:%225d22f83a-98e%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/apple-icon.png	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:06	2761/2761	---M--	200	added ('OK')	image/png	etag:%225d22f83a-ac9%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/favicon.png	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:08	122540/122540	---M-Z	200	added ('OK')	text/css	etag:W/%225d22f83a-1deac%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/bootstrap.min.css	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:09	8397/8397	---M-Z	200	added ('OK')	text/css	etag:W/%225d22f83a-20cd%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/demo.css	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/demo.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:09	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2031%20Aug%202019%2005:20:10%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/www.googletagmanager.com/gtm.85445.delayed	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:11	321714/321714	---M-Z	200	added ('OK')	text/css	etag:W/%225d22f83a-4e8b2%22	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/material-dashboard.css?v=1.3.0	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/material-dashboard98f3.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
10:50:14	18172/18172	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2008:00:58%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/pricing.html	C:/Users/Pulkit/Desktop/Repos/Google_form_spammer_flask/templates/google%20template/dashboard/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/pricing.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html)
